genes,variables,statistic,p.value,parameter,method,padj
BCAM,SMC.bin,0.299511194049358,0.584189020553376,1,Kruskal-Wallis rank sum test,1
C12orf4,Calc.bin,0.25087877458592,0.616456983897565,1,Kruskal-Wallis rank sum test,1
C12orf4,Collagen.bin,4.47371100070358,0.0344201563934852,1,Kruskal-Wallis rank sum test,1
C12orf4,epmajor.3years,0.0249308348570394,0.87453952850209,1,Kruskal-Wallis rank sum test,1
C12orf4,Fat.bin_10,6.34646141358539,0.0117615673673724,1,Kruskal-Wallis rank sum test,1
C12orf4,Fat.bin_40,1.56859722291831,0.210410847931814,1,Kruskal-Wallis rank sum test,1
C12orf4,IPH.bin,0.189707490415344,0.663160182247733,1,Kruskal-Wallis rank sum test,1
C12orf4,Macrophages.bin,2.18179275900542,0.139651705105937,1,Kruskal-Wallis rank sum test,1
C12orf4,SMC.bin,0.0559153813140191,0.813072379831663,1,Kruskal-Wallis rank sum test,1
CAMK2G,Calc.bin,0.455803842098617,0.499591610643734,1,Kruskal-Wallis rank sum test,1
CAMK2G,Collagen.bin,0.950487352473837,0.329595276960274,1,Kruskal-Wallis rank sum test,1
CAMK2G,epmajor.3years,0.0970795187841516,0.755362879764715,1,Kruskal-Wallis rank sum test,1
CAMK2G,Fat.bin_10,8.20587782498838,0.00417549030454884,1,Kruskal-Wallis rank sum test,1
CAMK2G,Fat.bin_40,1.93096476285512,0.164652933634465,1,Kruskal-Wallis rank sum test,1
CAMK2G,IPH.bin,0.192717803426891,0.660664174380893,1,Kruskal-Wallis rank sum test,1
CAMK2G,Macrophages.bin,0.0801355944146851,0.777113741533801,1,Kruskal-Wallis rank sum test,1
CAMK2G,SMC.bin,0.291803368933379,0.589067200056801,1,Kruskal-Wallis rank sum test,1
CDKN2A,Calc.bin,1.25126179707066,0.263311617668449,1,Kruskal-Wallis rank sum test,1
CDKN2A,Collagen.bin,1.0249365943738,0.311350890231236,1,Kruskal-Wallis rank sum test,1
CDKN2A,epmajor.3years,1.70811293887493,0.191230390187407,1,Kruskal-Wallis rank sum test,1
CDKN2A,Fat.bin_10,0.183604344520061,0.668293848181758,1,Kruskal-Wallis rank sum test,1
CDKN2A,Fat.bin_40,0.0178581426741639,0.893691711032939,1,Kruskal-Wallis rank sum test,1
CDKN2A,IPH.bin,0.172356571207277,0.678025884571867,1,Kruskal-Wallis rank sum test,1
CDKN2A,Macrophages.bin,6.11662575131378,0.0133916186482991,1,Kruskal-Wallis rank sum test,1
CDKN2A,SMC.bin,0.0391701501774652,0.843111957502009,1,Kruskal-Wallis rank sum test,1
CDKN2B,Calc.bin,3.05768792897863,0.0803559342566808,1,Kruskal-Wallis rank sum test,1
CDKN2B,Collagen.bin,0.412062209216556,0.520924660931376,1,Kruskal-Wallis rank sum test,1
CDKN2B,epmajor.3years,0.429978103720155,0.511999692607864,1,Kruskal-Wallis rank sum test,1
CDKN2B,Fat.bin_10,0.572200210788241,0.44938593350912,1,Kruskal-Wallis rank sum test,1
CDKN2B,Fat.bin_40,0.0554978524293184,0.813758732699356,1,Kruskal-Wallis rank sum test,1
CDKN2B,IPH.bin,1.09729229906805,0.294861100292653,1,Kruskal-Wallis rank sum test,1
CDKN2B,Macrophages.bin,3.84920364208721,0.0497696161693975,1,Kruskal-Wallis rank sum test,1
CDKN2B,SMC.bin,1.898669108641,0.168227363791347,1,Kruskal-Wallis rank sum test,1
CETP,Calc.bin,0.0691831859597699,0.79252979318888,1,Kruskal-Wallis rank sum test,1
CETP,Collagen.bin,4.13006274483219,0.0421277887726276,1,Kruskal-Wallis rank sum test,1
CETP,epmajor.3years,0.300901174741505,0.583318015992021,1,Kruskal-Wallis rank sum test,1
CETP,Fat.bin_10,0.920963959296292,0.337221995275372,1,Kruskal-Wallis rank sum test,1
CETP,Fat.bin_40,2.7332592373497,0.0982785377261402,1,Kruskal-Wallis rank sum test,1
CETP,IPH.bin,0.0152447600085786,0.901735188406494,1,Kruskal-Wallis rank sum test,1
CETP,Macrophages.bin,1.49047198852814,0.222143242604161,1,Kruskal-Wallis rank sum test,1
CETP,SMC.bin,0.168766745502414,0.681210173629625,1,Kruskal-Wallis rank sum test,1
CHRNA5,Calc.bin,1.00209326983671,0.316804527420806,1,Kruskal-Wallis rank sum test,1
CHRNA5,Collagen.bin,1.1422703046256,0.285173111389703,1,Kruskal-Wallis rank sum test,1
CHRNA5,epmajor.3years,0.0616416792463373,0.803919765323121,1,Kruskal-Wallis rank sum test,1
CHRNA5,Fat.bin_10,0.858779240196143,0.354080538127935,1,Kruskal-Wallis rank sum test,1
CHRNA5,Fat.bin_40,1.74961863948651,0.185924681874715,1,Kruskal-Wallis rank sum test,1
CHRNA5,IPH.bin,0.819795734653986,0.365239894980498,1,Kruskal-Wallis rank sum test,1
CHRNA5,Macrophages.bin,6.07578875616845,0.0137047092459276,1,Kruskal-Wallis rank sum test,1
